sample_number,time_approx,sampling_rate_hz
319,1.595,102.8343344693162
320,1.6,223.80363908009178
321,1.605,81.73800522274622
322,1.61,326.78644331904945
323,1.615,123.82440291677737
324,1.62,492.2314282361225
325,1.625,122.14403447974607
326,1.6300000000000001,495.8978481910617
327,1.635,100.37341757005767
328,1.6400000000000001,225.42749650650327
329,1.645,81.53145167560842
330,1.6500000000000001,330.989898989899
331,1.655,123.90121706250738
332,1.6600000000000001,439.2861332216171
333,1.665,123.28211157486332
334,1.67,497.7811535722763
335,1.675,102.25021940516821
336,1.68,224.18643433641563
337,1.685,83.26161786600497
338,1.69,327.88492808005003
339,1.695,121.32083767210459
340,1.7,494.2616073532878
341,1.705,132.39178056248224
342,1.71,328.81028535591093
343,1.715,103.7834413816994
344,1.72,211.25737886571974
345,1.725,119.87835829427232
346,1.73,493.67984934086627
347,1.735,124.040456615603
348,1.74,491.82739212007505
349,1.745,123.71118452100048
350,1.75,494.55300082537434
351,1.7550000000000001,119.90234698836511
352,1.76,990.3905548996458
353,1.7650000000000001,120.75499510566016
354,1.77,493.85423289768045
355,1.7750000000000001,122.89200117198945
356,1.78,497.13215597961363
357,1.7850000000000001,123.60910055404928
358,1.79,466.44839857651243
359,1.795,119.78249942883254
360,1.8,990.624468587624
361,1.805,118.99747496240815
362,1.81,450.85499301300655
363,1.815,123.06507834047298
364,1.82,496.66121965660153
365,1.825,120.97092754960775
366,1.83,497.0732401042901
367,1.835,138.97627567925778
368,1.84,417.3436815920398
369,1.845,128.40754347293657
370,1.85,496.89657623504326
371,1.855,117.7546814902159
372,1.86,990.3905548996458
373,1.865,120.25298890449841
374,1.87,497.0143381917289
375,1.875,113.18214690485185
376,1.8800000000000001,989.9230587679962
377,1.885,117.8373883238748
378,1.8900000000000001,487.08674950644524
379,1.895,122.78048066508592
380,1.9000000000000001,497.0143381917289
381,1.905,123.31110719115658
382,1.9100000000000001,974.5130111524163
383,1.915,124.1983950726955
384,1.92,497.84023738872406
385,1.925,112.81379273245649
386,1.93,991.5612293144208
387,1.935,123.61274350888569
388,1.94,496.3086025322447
389,1.945,123.19520648534336
390,1.95,496.1324816654838
391,1.955,122.44713026215916
392,1.96,494.66965444038215
393,1.965,123.63096150445087
394,1.97,440.6707291447783
395,1.975,123.58360588113969
396,1.98,495.1368197379294
397,1.985,123.25675159422845
398,1.99,985.0408642555191
399,1.995,123.3836559392834
400,2.0,495.60486825002954
401,2.005,123.65283018867925
402,2.0100000000000002,493.7960913586061
403,2.015,122.99290364201514
404,2.02,495.4292463973541
405,2.025,122.93162167707143
406,2.0300000000000002,495.4877731836976
407,2.035,123.81709225092251
408,2.04,495.2537489668202
409,2.045,119.28513736419998
410,2.05,977.4653926823585
411,2.055,109.54903753232168
412,2.06,987.3596986817325
413,2.065,117.93347392098974
414,2.07,432.8487100103199
415,2.075,120.92907392457617
416,2.08,496.0151371807001
417,2.085,136.21408157963108
418,2.09,465.464876262346
419,2.095,119.91605912456757
420,2.1,497.66302800189845
421,2.105,136.1787012987013
422,2.11,485.058864346016
423,2.115,119.91605912456757
424,2.12,497.1910858226648
425,2.125,135.81271249554771
426,2.13,496.95545023696684
427,2.1350000000000002,118.16272256028849
428,2.14,492.92560817957457
429,2.145,123.64189487958022
430,2.15,493.5055888928109
431,2.1550000000000002,123.88657844990549
432,2.16,492.3469890832257
433,2.165,123.39091550953165
434,2.17,991.3268730796502
435,2.1750000000000003,109.62921142737656
436,2.18,984.3473363060315
437,2.185,123.20606292042417
438,2.19,496.54362495560554
439,2.195,123.58724733337262
440,2.2,493.4475294117647
441,2.205,123.38002647448154
442,2.21,493.7960913586061
443,2.215,122.93522480801923
444,2.22,495.83922449462113
445,2.225,117.5335986100992
446,2.23,985.9670897978373
447,2.235,119.9846668764482
448,2.24,468.2710729038741
449,2.245,118.79861779867444
450,2.25,497.2500296384114
451,2.255,134.44143855375344
452,2.2600000000000002,496.2498816848083
453,2.265,117.79436627629399
454,2.27,497.54495848161326
455,2.275,122.22233878252761
456,2.2800000000000002,981.5829627896092
457,2.285,123.34374356712249
458,2.29,496.3673372781065
459,2.295,123.14818403358878
460,2.3000000000000003,495.9564857514485
461,2.305,123.94881645438694
462,2.31,494.4364022161971
463,2.315,123.71848268538729
464,2.32,495.37073343569153
465,2.325,120.75847177036248
466,2.33,494.08693603486864
467,2.335,123.64553976770237
468,2.34,939.7947568899843
469,2.345,123.53628652214891
470,2.35,494.08693603486864
471,2.355,123.45629010419732
472,2.36,495.4292463973541
473,2.365,123.94881645438694
474,2.37,489.5884206840201
475,2.375,122.98929712928481
476,2.38,496.6024153445418
477,2.3850000000000002,123.64553976770237
478,2.39,495.0783758262512
479,2.395,123.73673186417678
480,2.4,494.2616073532878
481,2.4050000000000002,123.60181528850121
482,2.41,987.1273240762532
483,2.415,123.09035950110051
484,2.42,497.66302800189845
485,2.4250000000000003,111.0897340820002
486,2.43,495.54631379962194
487,2.435,140.82879495013935
488,2.44,288.3674114816088
489,2.445,139.7030276787796
490,2.45,331.513120455264
491,2.455,152.54788143298782
492,2.46,310.9655990510083
493,2.465,122.91000732600733
494,2.47,492.462604203358
495,2.475,160.5721067340454
496,2.48,245.72640459312203
497,2.485,164.70211262074923
498,2.49,329.8705465985057
499,2.495,140.80515643883442
500,2.5,329.45597360772916
501,2.505,141.2318674658226
502,2.5100000000000002,328.73297280351125
503,2.515,124.00011825572801
504,2.52,496.7200378967314
505,2.525,123.45629010419732
506,2.5300000000000002,493.38948359016587
507,2.535,140.9328987601223
508,2.54,490.56187134502926
509,2.545,141.3889769088151
510,2.5500000000000003,329.74088050314464
511,2.555,123.27848808159186
512,2.56,496.0151371807001
513,2.565,123.48536772066184
514,2.57,966.6522240147499
515,2.575,110.09538808830092
516,2.58,496.2498816848083
517,2.585,140.64934106837464
518,2.59,485.22720962517354
519,2.595,123.34011645003822
520,2.6,490.73405873405875
521,2.605,124.02945264216223
522,2.61,493.73796350794584
523,2.615,123.49627535847834
524,2.62,495.7220186739156
525,2.625,116.32426435920902
526,2.63,496.1324816654838
527,2.6350000000000002,123.76594175101066
528,2.64,985.0408642555191
529,2.645,122.12269617120396
530,2.65,497.4859447277903
531,2.6550000000000002,120.72023946580704
532,2.66,987.3596986817325
533,2.665,123.1120373359946
534,2.67,497.3089874318236
535,2.6750000000000003,115.64113592500689
536,2.68,498.1358669833729
537,2.685,123.67470661083918
538,2.69,476.95064816920626
539,2.695,135.38310577450696
540,2.7,498.5503387614406
541,2.705,123.5581217227361
542,2.71,477.7111617312073
543,2.715,123.66741361009554
544,2.72,497.54495848161326
545,2.725,120.01556598374728
546,2.73,493.73796350794584
547,2.735,123.61274350888569
548,2.74,986.4308560677329
549,2.745,123.65647572157198
550,2.75,493.9705570604169
551,2.755,123.7695939565628
552,2.7600000000000002,495.2537489668202
553,2.765,123.58360588113969
554,2.77,491.48160299976564
555,2.775,112.79862306368331
556,2.7800000000000002,991.5612293144208
557,2.785,123.47809703250118
558,2.79,479.7328148232872
559,2.795,114.55778002348893
560,2.8000000000000003,978.6056929538031
561,2.805,120.62649909407264
562,2.81,497.3679592078738
563,2.815,123.72578171091446
564,2.82,497.54495848161326
565,2.825,115.09217133605905
566,2.83,996.0351460460698
567,2.835,122.54014257333178
568,2.84,495.9564857514485
569,2.845,123.32923637860566
570,2.85,497.7220837783316
571,2.855,136.24505440961508
572,2.86,445.0662139219015
573,2.865,123.39091550953165
574,2.87,495.7806146572104
575,2.875,114.03452869688154
576,2.88,496.1324816654838
577,2.8850000000000002,135.04311149747255
578,2.89,493.7960913586061
579,2.895,123.45629010419732
580,2.9,493.2734329060332
581,2.9050000000000002,123.71848268538729
582,2.91,495.1368197379294
583,2.915,123.82440291677737
584,2.92,991.5612293144208
585,2.9250000000000003,103.68338565742961
586,2.93,996.0351460460698
587,2.935,129.80237056293132
588,2.94,430.3174310044116
589,2.945,123.91952019381334
590,2.95,405.1293344924177
591,2.955,123.67470661083918
592,2.96,494.90312684365784
593,2.965,124.00745055139994
594,2.97,938.1131737866249
595,2.975,117.87050359712231
596,2.98,497.0143381917289
597,2.985,123.47446200947923
598,2.99,975.419534883721
599,2.995,123.08674727080643
600,3.0,495.4292463973541
601,3.005,123.44175643063159
602,3.0100000000000002,496.6024153445418
603,3.015,122.81643290093994
604,3.02,493.15743680188126
605,3.025,111.53284050417487
606,3.0300000000000002,497.0732401042901
607,3.035,136.0064852945945
608,3.04,441.6451511003475
609,3.045,123.26399623828136
610,3.0500000000000003,992.2649633309676
611,3.055,119.44819730022213
612,3.06,493.7960913586061
613,3.065,123.79881936245573
614,3.0700000000000003,494.14514608859565
615,3.075,112.60481099656357
616,3.08,996.745247148289
617,3.085,124.31619194404102
618,3.09,498.60960532572517
619,3.095,132.954131930136
620,3.1,497.2500296384114
621,3.105,120.8384903486027
622,3.11,496.66121965660153
623,3.115,141.36038556165954
624,3.12,332.06428627978784
625,3.125,117.52701188074423
626,3.13,496.8377161809998
627,3.1350000000000002,141.39850992819336
628,3.14,327.93620015637214
629,3.145,124.09917746612226
630,3.15,985.5037593984962
631,3.1550000000000002,123.33648954626989
632,3.16,495.37073343569153
633,3.165,123.64189487958022
634,3.17,495.54631379962194
635,3.1750000000000003,117.05143303658639
636,3.18,497.426944971537
637,3.185,141.09408954822214
638,3.19,412.8251968503937
639,3.1950000000000003,121.23317050611325
640,3.2,495.60486825002954
641,3.205,136.8987531823226
642,3.21,454.61781920659007
643,3.215,123.39454561501574
644,3.22,495.1952774498229
645,3.225,106.49496001015615
646,3.23,996.0351460460698
647,3.235,122.75891942517634
648,3.24,499.9170441001192
649,3.245,138.92103868574458
650,3.25,326.8119058750195
651,3.255,137.2975874824053
652,3.2600000000000002,495.83922449462113
653,3.265,123.29660767828797
654,3.27,467.175762976164
655,3.275,120.6820313623939
656,3.2800000000000002,492.98354489891864
657,3.285,123.75133508394063
658,3.29,982.9632059995313
659,3.295,123.72578171091446
660,3.3000000000000003,496.4848484848485
661,3.305,123.7221320904988
662,3.31,492.3469890832257
663,3.315,123.82440291677737
664,3.3200000000000003,496.89657623504326
665,3.325,107.05490186069068
666,3.33,996.5084343074365
667,3.335,123.43449087698646
668,3.34,451.19449225473323
669,3.345,123.47446200947923
670,3.35,991.7956963821234
671,3.355,123.35462619845892
672,3.36,455.0123671078325
673,3.365,123.14095299609524
674,3.37,495.60486825002954
675,3.375,108.66072538860104
676,3.38,996.2717339667458
677,3.3850000000000002,141.44142442840763
678,3.39,321.5504446488807
679,3.395,122.73018288222384
680,3.4,990.624468587624
681,3.4050000000000002,120.30817772423487
682,3.41,497.4859447277903
683,3.415,123.47446200947923
684,3.42,478.47410449463837
685,3.4250000000000003,109.00524975310567
686,3.43,997.9310016654771
687,3.435,138.99930405965202
688,3.44,409.88019153718363
689,3.4450000000000003,122.55446470313231
690,3.45,497.13215597961363
691,3.455,120.57795026591921
692,3.46,986.8950588235294
693,3.465,123.14095299609524
694,3.47,497.2500296384114
695,3.475,133.01316081565344
696,3.48,325.5183546759798
697,3.485,122.20097310841128
698,3.49,908.8416034669556
699,3.495,120.71329073850228
700,3.5,497.66302800189845
701,3.505,121.61280408246107
702,3.5100000000000002,493.6217488525362
703,3.515,123.74038234599952
704,3.52,491.8850709510965
705,3.525,107.20813843519157
706,3.5300000000000002,997.9310016654771
707,3.535,136.99265114152269
708,3.54,390.31304671505677
709,3.545,137.51816393442624
710,3.5500000000000003,331.9066234074543
711,3.555,138.9624623132227
712,3.56,405.56023979887834
713,3.565,123.99278682709078
714,3.5700000000000003,497.66302800189845
715,3.575,96.10485072061957
716,3.58,237.15390704512043
717,3.585,122.5687901811806
718,3.59,494.4364022161971
719,3.595,123.66012146942626
720,3.6,494.4946946474888
721,3.605,113.26467014123303
722,3.61,989.222641509434
723,3.615,120.92558742972466
724,3.62,495.8978481910617
725,3.625,120.52597701149425
726,3.63,977.6932400932401
727,3.6350000000000002,110.13875321674281
728,3.64,985.9670897978373
729,3.645,123.29660767828797
730,3.65,493.38948359016587
731,3.6550000000000002,109.18401666015879
732,3.66,977.4653926823585
733,3.665,120.96394993366788
734,3.67,496.3086025322447
735,3.6750000000000003,141.36514998314797
736,3.68,329.84460522176784
737,3.685,133.55104120231803
738,3.69,492.4047898567739
739,3.6950000000000003,123.05785705903062
740,3.7,494.7863631001534
741,3.705,109.62348082904263
742,3.71,991.5612293144208
743,3.715,121.85305482118474
744,3.72,495.4292463973541
745,3.725,123.83902683870205
746,3.73,495.01994570990206
747,3.735,122.79126412553428
748,3.74,994.1464802085802
749,3.745,123.40180646679808
750,3.75,496.0151371807001
751,3.755,107.2931546096388
752,3.7600000000000002,990.1567516525024
753,3.765,123.19520648534336
754,3.77,496.1324816654838
755,3.775,140.98026957077073
756,3.7800000000000002,330.65068979109185
757,3.785,123.63460574797347
758,3.79,495.83922449462113
759,3.795,123.5472031576777
760,3.8000000000000003,986.6629028463891
761,3.805,102.79904904291561
762,3.81,985.9670897978373
763,3.815,131.19909912727954
764,3.8200000000000003,329.81866792482504
765,3.825,131.84245434256437
766,3.83,496.89657623504326
767,3.835,133.7128283601122
768,3.84,331.6441843915553
769,3.845,122.61537112286959
770,3.85,991.7956963821234
771,3.855,132.07078531393665
772,3.86,327.3730877302529
773,3.865,132.70594190976396
774,3.87,496.1324816654838
775,3.875,140.73901080464398
776,3.88,329.71495951576134
777,3.8850000000000002,131.85488839987426
778,3.89,496.7788700698804
779,3.895,122.24371192911894
780,3.9,991.3268730796502
781,3.9050000000000002,105.20477576000803
782,3.91,497.13215597961363
783,3.915,133.53403374721427
784,3.92,496.0151371807001
785,3.9250000000000003,123.17711667792429
786,3.93,495.2537489668202
787,3.935,123.64189487958022
788,3.94,988.0574793875147
789,3.9450000000000003,123.59817297775159
790,3.95,493.67984934086627
791,3.955,105.31836785938481
792,3.96,976.3277467411546
793,3.9650000000000003,141.5368833097118
794,3.97,312.4481525625745
795,3.975,123.71118452100048
796,3.98,976.1005352571561
797,3.985,122.69069209617972
798,3.99,494.08693603486864
799,3.995,123.8829193372124
800,4.0,492.92560817957457
801,4.005,107.54074150043587
802,4.01,984.1163772876583
803,4.015,123.04702672573121
804,4.0200000000000005,496.3673372781065
805,4.025,124.02578508486604
806,4.03,979.977570093458
807,4.035,123.6236736618722
808,4.04,494.66965444038215
809,4.045,123.28573528114988
810,4.05,492.4047898567739
811,4.055,104.50749987541735
812,4.0600000000000005,980.2065903248423
813,4.065,141.1510684839307
814,4.07,328.6299459374755
815,4.075,122.93522480801923
816,4.08,990.8584927947082
817,4.085,109.97126376507603
818,4.09,988.7562470532768
819,4.095,123.24588622472966
820,4.1,494.08693603486864
821,4.105,104.2607074498496
822,4.11,998.1684911946692
823,4.115,133.33028164536842
824,4.12,491.5968120018753
825,4.125,123.20606292042417
826,4.13,495.0783758262512
827,4.135,123.17711667792429
828,4.14,494.20336985978554
829,4.1450000000000005,123.98545626533448
830,4.15,492.92560817957457
831,4.155,109.53473310352032
832,4.16,996.9821725695269
833,4.165,132.54658071040325
834,4.17,493.5055888928109
835,4.175,110.20531280380462
836,4.18,991.0926275992439
837,4.1850000000000005,113.43007815669199
838,4.19,990.624468587624
839,4.195,123.8463400950778
840,4.2,487.0301904319554
841,4.205,107.2931546096388
842,4.21,991.0926275992439
843,4.215,141.103582842725
844,4.22,328.6556965992791
845,4.225,123.74403304322172
846,4.23,978.834072345391
847,4.235,124.040456615603
848,4.24,493.0414952392148
849,4.245,123.23502277067725
850,4.25,495.7806146572104
851,4.255,103.0794789874662
852,4.26,982.2725995316159
853,4.265,141.4843649856637
854,4.2700000000000005,329.1715586250196
855,4.275,123.2422648605765
856,4.28,979.062558356676
857,4.285,123.34737089754147
858,4.29,493.6217488525362
859,4.295,123.41996233521657
860,4.3,495.2537489668202
861,4.305,106.657444373808
862,4.3100000000000005,997.9310016654771
863,4.315,141.2318674658226
864,4.32,301.18512135573746
865,4.325,119.85780419500486
866,4.33,991.3268730796502
867,4.335,117.87381614816064
868,4.34,497.2500296384114
869,4.345,123.74038234599952
870,4.3500000000000005,991.3268730796502
871,4.355,100.50088656730723
872,4.36,997.6936251189344
873,4.365,137.32905507170454
874,4.37,326.5320358115998
875,4.375,123.63096150445087
876,4.38,497.2500296384114
877,4.385,129.3221101964049
878,4.39,497.13215597961363
879,4.3950000000000005,122.74814164471759
880,4.4,981.1237426900585
881,4.405,111.4794811822241
882,4.41,497.0732401042901
883,4.415,123.66741361009554
884,4.42,988.5232147065756
885,4.425,123.5763236204001
886,4.43,496.1324816654838
887,4.4350000000000005,123.39817593409826
888,4.44,988.5232147065756
889,4.445,122.10847477364698
890,4.45,494.31985857395404
891,4.455,97.95198505371322
892,4.46,983.4241500586166
893,4.465,140.72484482469383
894,4.47,329.6372209996856
895,4.4750000000000005,123.86096919942119
896,4.48,988.0574793875147
897,4.485,123.50354818762699
898,4.49,493.5636620381266
899,4.495,122.75891942517634
900,4.5,493.4475294117647
901,4.505,110.1416454399832
902,4.51,493.0414952392148
903,4.515,164.8510002751248
904,4.5200000000000005,330.33819012365126
905,4.525,140.9092252906
